#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
77;J0133-6957;NAN;NAN;NAN;49980.20;297.691;-46.739;23.38525000;-69.95824444;0.463474;1.20e-16;22.95;NAN;5.00;0.18;NAN;2.441;-1.778;-1.481;7.723;NAN;pks70;
78;J0134-2937;17.000;-9.000;NAN;54428.00;230.251;-80.250;23.57784333;-29.62140056;0.136962;7.84e-17;21.81;NAN;9.00;3.90;NAN;25.000;-24.639;-3.255;11.207;NAN;pks70;
79;J0137+1654;NAN;NAN;NAN;NAN;138.449;-44.571;24.34950000;16.91169444;0.414763;1.22e-17;26.08;NAN;1.40;NAN;NAN;3.059;-2.147;1.445;10.131;NAN;ar4,ar327,lotaas;
80;J0137+6349;NAN;NAN;NAN;56500.00;127.955;1.402;24.30569116;63.82620927;0.717963;9.60e-16;285.50;NAN;NAN;NAN;NAN;9.097;0.223;7.171;14.093;NAN;gbncc;
81;J0139+3336;NAN;NAN;NAN;57901.00;134.381;-28.174;24.98845833;33.61658333;1.247961;2.06e-15;21.20;NAN;NAN;NAN;NAN;1.470;-0.694;0.926;9.406;NAN;misc,lotaas,fast_gpps;
82;J0139+5621;NAN;NAN;NAN;56000.00;129.609;-5.885;24.91066667;56.36022222;1.775344;7.91e-14;101.84;NAN;0.70;0.02;NAN;2.410;-0.247;1.847;10.028;NAN;misc,gbncc,lotaas;
83;J0139+5814;-19.110;-16.600;0.370;52275.00;129.216;-4.044;24.83225042;58.24217194;0.272451;1.07e-14;73.81;0.00;28.00;4.60;NAN;2.600;-0.183;2.009;10.140;GRS:[saa+23];gb1,FermiAssoc,gb2,gb3,gb4,gbncc,lo;
84;J0141+6009;NAN;NAN;NAN;49293.00;129.147;-2.105;25.41640106;60.15897431;1.222949;3.91e-16;34.93;0.00;49.00;4.50;NAN;2.300;-0.084;1.783;9.951;NAN;misc,gb3,gb4,gbncc,lotaas;
85;J0141+63;NAN;NAN;NAN;56292.00;128.497;0.798;25.25000000;63.13333333;0.046686;NAN;272.80;NAN;1.30;NAN;NAN;8.774;0.122;6.866;13.961;NAN;gbncc;
86;J0141+6303;NAN;NAN;NAN;57431.00;128.595;0.747;25.44066472;63.06373510;0.046680;1.65e-18;272.76;NAN;NAN;NAN;NAN;8.788;0.115;6.868;13.982;NAN;misc,gbncc;
87;J0146+31;NAN;NAN;NAN;57022.00;136.532;-30.353;26.56250000;31.06666667;0.938100;NAN;25.00;NAN;NAN;NAN;NAN;1.825;-0.922;1.083;9.643;NAN;misc,fast_gpps;
88;J0146+6145;-4.100;1.900;NAN;49031.00;129.384;-0.431;26.59341667;61.75077778;8.688994;1.99e-12;NAN;NAN;NAN;NAN;NAN;3.600;-0.027;2.782;10.784;XRS:4U_0142+61;misc;
89;J0147+5922;-6.390;3.800;0.470;56000.00;130.059;-2.723;26.93601417;59.36757889;0.196321;2.57e-16;40.11;0.00;6.60;2.10;NAN;1.900;-0.090;1.453;9.721;NAN;gb3,lotaas;
90;J0149+29;NAN;NAN;NAN;NAN;137.766;-32.042;27.25000000;29.16666667;2.654000;NAN;35.00;NAN;NAN;NAN;NAN;3.256;-1.727;1.855;10.544;NAN;pumps;
91;J0151-0635;10.700;-5.380;0.230;56000.00;160.368;-65.004;27.84465792;-6.58416306;1.464665;4.43e-16;25.66;NAN;38.00;1.60;NAN;25.000;-22.658;3.549;18.450;NAN;mol2,pks70;
92;J0152+0948;NAN;NAN;NAN;NAN;146.812;-50.221;28.09887500;9.80277778;2.746647;1.70e-15;22.88;NAN;0.91;NAN;NAN;2.476;-1.903;0.867;9.826;NAN;ar4,ar327;
93;J0152-1637;0.800;-31.300;0.500;56000.00;179.306;-72.457;28.04522458;-16.63156694;0.832742;1.30e-15;11.93;NAN;20.00;2.10;NAN;0.920;-0.877;0.003;8.777;NAN;mol2,pks70;
94;J0154+1833;10.300;-8.900;NAN;56900.00;143.185;-41.810;28.65367804;18.56409944;0.002365;2.92e-21;19.80;NAN;NAN;0.11;NAN;1.623;-1.082;0.725;9.468;GRS:[saa+23];ar327,FermiAssoc;
