#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
1696;J1752-2410;J1752-2410;NAN;NAN;NAN;51865.00;4.930;1.039;268.24475833;-24.17388889;0.191037;6.18e-16;508.30;7.100;NAN;NAN;NAN;0.47;NAN;12.402;12.402;0.225;1.066;-3.854;NAN;pksmb,htru_pks;NAN;
1697;B1749-28;J1752-2806;-4.000;-5.000;NAN;46483.00;1.540;-0.961;268.24454000;-28.11036111;0.562558;8.13e-15;50.37;6.600;12.000;0.00;1100.00;48.00;NAN;0.200;1.335;-0.003;0.005;8.300;NAN;mol1,htru_pks,jb1,jb2,mol2,pks1,pks;NAN;
1698;J1752-2821;J1752-2821;NAN;NAN;NAN;50974.00;1.267;-0.976;268.10229167;-28.35277778;0.640229;3.47e-15;516.30;11.500;20.000;NAN;NAN;0.32;NAN;5.440;5.440;-0.093;0.120;3.062;NAN;pksmb,htru_pks;NAN;
1699;J1753-12;J1753-12;NAN;NAN;NAN;54831.00;14.608;6.703;268.22083333;-12.98333333;0.405454;NAN;73.00;NAN;NAN;NAN;NAN;NAN;NAN;1.123;1.123;0.131;0.281;7.421;NAN;pkssw;RRAT;
1700;J1753-1914;J1753-1914;NAN;NAN;NAN;53150.00;9.251;3.412;268.39654583;-19.24944444;0.062955;2.02e-18;105.30;10.000;14.000;NAN;NAN;0.13;NAN;2.915;2.915;0.174;0.468;5.628;NAN;pksmb,htru_pks;NAN;
1701;B1750-24;J1753-2501;NAN;NAN;NAN;49613.00;4.274;0.512;268.37757946;-25.00699789;0.528336;1.41e-14;672.00;57.000;93.200;0.33;NAN;2.30;NAN;5.287;5.287;0.047;0.394;3.228;NAN;jb2,htru_pks,pksmb;NAN;
1702;J1753-28;J1753-28;NAN;NAN;NAN;NAN;0.887;-1.377;268.27500000;-28.88333333;0.085859;NAN;18.00;3.900;7.850;NAN;NAN;NAN;NAN;0.693;0.693;-0.017;0.011;7.807;NAN;htru_pks;NAN;
1703;J1753-38;J1753-38;NAN;NAN;NAN;55305.00;352.277;-6.368;268.25000000;-38.81666667;0.666804;NAN;167.60;9.000;22.000;NAN;NAN;NAN;NAN;8.815;8.815;-0.978;-1.177;-0.181;NAN;pkssw,gbncc,htru_pks;RRAT;
1704;J1754+0032;J1754+0032;NAN;NAN;NAN;55062.00;26.930;12.844;268.71666667;0.60916667;0.004411;NAN;70.28;NAN;NAN;NAN;NAN;0.61;NAN;4.052;4.052;0.901;1.789;4.978;NAN;htru_pks;NAN;
1705;J1754+48;J1754+48;NAN;NAN;NAN;NAN;75.899;29.235;268.50000000;48.76666667;0.652000;NAN;23.00;NAN;NAN;NAN;NAN;NAN;NAN;2.005;2.005;0.979;1.697;8.074;NAN;pumps;NAN;
1706;B1753+52;J1754+5201;-3.950;1.110;0.160;56000.00;79.608;29.628;268.59544500;52.02006778;2.391397;1.56e-15;35.01;11.400;129.400;NAN;4.90;1.60;NAN;6.300;4.173;3.114;5.386;7.512;NAN;gb2,lotaas;NAN;
1707;J1754-2422;J1754-2422;NAN;NAN;NAN;55310.00;4.947;0.618;268.65233333;-24.37333333;2.090248;8.30e-16;738.00;NAN;NAN;NAN;NAN;NAN;NAN;11.096;11.096;0.120;0.957;-2.554;NAN;htru_pks;NAN;
1708;J1754-3014;J1754-3014;NAN;NAN;NAN;55292.00;359.862;-2.332;268.62575417;-30.25083333;1.320490;4.43e-15;89.70;36.000;NAN;NAN;NAN;NAN;NAN;2.520;2.520;-0.103;-0.006;5.982;NAN;pksmb;RRAT;
1709;J1754-3443;J1754-3443;NAN;NAN;NAN;52260.00;355.994;-4.607;268.65571667;-34.73163889;0.361691;5.71e-16;188.70;12.000;19.000;NAN;NAN;0.49;NAN;7.197;7.197;-0.578;-0.501;1.344;NAN;pksmb,gbncc,htru_pks;NAN;
1710;J1754-3510;J1754-3510;NAN;NAN;NAN;53097.00;355.635;-4.882;268.72756667;-35.17861111;0.392704;7.82e-16;81.23;2.300;12.000;NAN;NAN;0.47;NAN;2.556;2.556;-0.218;-0.194;5.961;NAN;pksmb,gbncc,htru_pks;NAN;
1711;J1755-0903;J1755-0903;NAN;NAN;NAN;55536.00;18.324;8.150;268.79318333;-9.06433333;0.190710;7.81e-16;63.67;3.900;9.700;NAN;NAN;NAN;NAN;0.235;0.235;0.033;0.073;8.279;NAN;htru_pks,gbncc;NAN;
1712;J1755-1650;J1755-1650;NAN;NAN;NAN;53165.00;11.527;4.291;268.79853333;-16.84472222;0.733744;6.86e-16;159.90;14.000;26.000;NAN;NAN;0.13;NAN;4.617;4.617;0.345;0.920;3.989;NAN;pksmb,htru_pks;NAN;
1713;J1755-2025;J1755-2025;NAN;NAN;NAN;54268.10;8.480;2.416;268.89917083;-20.41666667;0.322231;4.42e-15;364.30;6.900;NAN;NAN;NAN;0.18;NAN;15.975;15.975;0.673;2.354;-7.286;NAN;pksmb,htru_pks;NAN;
1714;J1755-2521;J1755-2521;NAN;NAN;NAN;51586.00;4.255;-0.150;268.99879167;-25.35750000;1.175968;9.02e-14;252.00;13.400;33.000;NAN;NAN;0.70;NAN;3.444;3.444;-0.009;0.256;5.066;NAN;pksmb,htru_pks;NAN;
1715;J1755-25211;J1755-25211;NAN;NAN;NAN;51908.00;4.183;-0.016;268.83045833;-25.35250000;1.004513;3.12e-14;835.00;20.000;NAN;NAN;NAN;0.17;NAN;5.055;5.055;-0.001;0.369;3.458;NAN;pksmb;NAN;
1716;J1755-2534;J1755-2534;NAN;NAN;NAN;52188.00;4.047;-0.229;268.95758333;-25.57750000;0.233541;1.12e-14;590.00;15.000;NAN;NAN;NAN;0.17;NAN;4.398;4.398;-0.018;0.310;4.113;NAN;pksmb;NAN;
1717;J1755-26;J1755-26;NAN;NAN;NAN;56827.00;3.618;-0.333;268.81787500;-26.00000000;0.430872;1.23e-14;405.00;16.300;25.700;NAN;NAN;0.14;NAN;3.946;3.946;-0.023;0.249;4.562;NAN;htru_pks;NAN;
1718;J1755-2725;J1755-2725;NAN;NAN;NAN;51492.00;2.432;-1.135;268.92450000;-27.42916667;0.261955;1.37e-17;115.10;9.000;28.000;NAN;NAN;0.50;NAN;2.704;2.704;-0.054;0.115;5.799;NAN;pksmb,gbncc,htru_pks;NAN;
1719;J1755-33;J1755-33;NAN;NAN;NAN;52080.60;357.109;-4.102;268.80000000;-33.51666667;0.959466;NAN;266.50;NAN;NAN;NAN;NAN;0.20;NAN;14.084;14.084;-1.007;-0.709;-5.530;NAN;pksmb;NAN;
1720;J1756+1822;J1756+1822;NAN;NAN;NAN;53400.00;43.836;20.185;269.07326250;18.38202778;0.744001;5.13e-16;70.80;17.100;31.600;NAN;0.70;0.01;NAN;25.000;25.000;8.626;16.251;-8.426;NAN;misc,ar327;NAN;
1721;J1756-2225;J1756-2225;NAN;NAN;NAN;52360.00;6.835;1.237;269.10650000;-22.43000000;0.404980;5.27e-14;329.00;11.000;NAN;NAN;NAN;0.25;NAN;4.779;4.779;0.103;0.569;3.756;NAN;pksmb,htru_pks;NAN;
1722;B1753-24;J1756-2435;NAN;NAN;NAN;49613.00;5.027;0.044;269.24130613;-24.59286391;0.670480;2.85e-16;367.10;25.000;39.000;0.03;8.40;2.00;NAN;3.833;3.833;0.003;0.336;4.682;NAN;jb2,htru_pks,pks1,pksmb;NAN;
1723;J1756-25;J1756-25;NAN;NAN;NAN;56657.00;4.241;-0.342;269.17500000;-25.46666667;0.855986;NAN;706.00;25.400;38.000;NAN;NAN;0.20;NAN;4.769;4.769;-0.028;0.353;3.744;NAN;htru_pks;NAN;
1724;J1756-2619;J1756-2619;NAN;NAN;NAN;54223.20;3.574;-0.891;269.33079167;-26.31888889;0.724514;1.24e-15;534.00;18.000;NAN;NAN;NAN;0.10;NAN;5.113;5.113;-0.080;0.319;3.398;NAN;pksmb;NAN;
1725;J1757-1500;J1757-1500;NAN;NAN;NAN;57038.00;13.367;4.785;269.30313333;-15.00791667;0.179354;1.50e-15;150.00;3.300;4.780;NAN;NAN;0.09;NAN;4.222;4.222;0.352;0.973;4.407;NAN;htru_pks;NAN;
1726;J1757-16;J1757-16;NAN;NAN;NAN;NAN;12.151;4.034;269.35416667;-16.43333333;0.451273;NAN;132.20;NAN;NAN;NAN;NAN;NAN;NAN;3.367;3.367;0.237;0.707;5.217;NAN;pksmb;NAN;
1727;J1757-2223;J1757-2223;NAN;NAN;NAN;51495.00;7.029;0.970;269.46155000;-22.39694444;0.185310;7.82e-16;239.30;1.300;5.000;NAN;NAN;1.00;NAN;3.727;3.727;0.063;0.456;4.802;NAN;pksmb,htru_pks;NAN;
1728;B1754-24;J1757-2421;NAN;NAN;NAN;53623.00;5.281;0.054;269.37218150;-24.36873464;0.234106;1.30e-14;179.45;10.000;19.000;0.00;20.00;7.20;NAN;3.124;3.124;0.003;0.288;5.389;GRS:4FGL_J1757.9-2419[aab+22];misc,FermiAssoc,htru_pks,jb2,mol1,p;HE[sbc+19];
1729;J1757-2745;J1757-2745;-11.400;54.000;NAN;57575.00;2.391;-1.727;269.47826083;-27.76115556;0.017687;-1.30e-20;334.00;0.490;0.880;NAN;NAN;0.07;NAN;8.203;8.203;-0.247;0.342;0.308;NAN;htru_pks;NAN;
1730;J1758+3030;J1758+3030;NAN;NAN;NAN;NAN;56.265;24.032;269.60783333;30.50666667;0.947256;7.20e-16;35.07;26.400;47.600;0.00;8.90;NAN;NAN;3.279;3.279;1.335;2.490;6.837;NAN;ar4,ar327,gb4,gbncc,lotaas;NAN;
1731;J1758-1931;J1758-1931;NAN;NAN;NAN;52353.00;9.544;2.353;269.52333333;-19.52805556;0.692552;1.69e-14;207.00;21.000;NAN;NAN;NAN;0.38;NAN;4.544;4.544;0.187;0.753;4.023;NAN;pksmb,htru_pks;NAN;
1732;J1758-2206;J1758-2206;NAN;NAN;NAN;51495.00;7.378;0.933;269.68520833;-22.11250000;0.430278;9.56e-16;678.00;16.600;NAN;NAN;NAN;0.41;NAN;15.054;15.054;0.245;1.933;-6.427;NAN;pksmb,htru_pks;NAN;
1733;J1758-2540;J1758-2540;NAN;NAN;NAN;50975.00;4.263;-0.807;269.63308333;-25.68027778;2.107263;1.55e-15;218.20;120.000;NAN;NAN;NAN;0.65;NAN;3.410;3.410;-0.048;0.253;5.100;NAN;pksmb,htru_pks;NAN;
1734;J1758-2630;J1758-2630;NAN;NAN;NAN;51244.00;3.555;-1.225;269.64279167;-26.50277778;1.202893;5.17e-15;328.00;15.600;NAN;NAN;NAN;0.41;NAN;4.351;4.351;-0.093;0.270;4.158;NAN;pksmb,htru_pks;NAN;
1735;J1758-2846;J1758-2846;NAN;NAN;NAN;53253.00;1.556;-2.294;269.56420833;-28.76722222;0.766706;9.41e-17;66.60;4.400;30.000;NAN;NAN;0.20;NAN;2.006;2.006;-0.080;0.054;6.496;NAN;pksmb,htru_pks;NAN;
1736;J1759-1029;J1759-1029;NAN;NAN;NAN;55348.00;17.596;6.504;269.89291667;-10.49916667;2.512263;1.57e-14;115.40;185.000;330.000;NAN;NAN;NAN;NAN;2.519;2.519;0.285;0.757;6.114;NAN;htru_pks,gbncc;NAN;
1737;J1759-1736;J1759-1736;NAN;NAN;NAN;53156.00;11.378;3.028;269.86733333;-17.60277778;0.798452;2.55e-16;206.00;18.000;44.000;NAN;NAN;0.12;NAN;4.917;4.917;0.260;0.969;3.686;NAN;pksmb;NAN;
1738;J1759-1903;J1759-1903;NAN;NAN;NAN;52003.00;10.142;2.260;269.92400000;-19.05527778;0.731505;3.07e-15;467.00;34.000;NAN;NAN;NAN;0.16;NAN;21.807;21.807;0.860;3.837;-12.950;NAN;pksmb,htru_pks;NAN;
1739;J1759-1940;J1759-1940;NAN;NAN;NAN;51491.00;9.634;1.901;269.98766667;-19.67472222;0.254720;9.34e-17;302.70;19.600;NAN;NAN;NAN;0.90;NAN;7.985;7.985;0.265;1.336;0.632;NAN;pksmb,htru_pks;NAN;
1740;J1759-1956;J1759-1956;NAN;NAN;NAN;51495.00;9.366;1.845;269.89758333;-19.93555556;2.843389;1.86e-14;236.40;37.900;NAN;NAN;NAN;0.41;NAN;4.620;4.620;0.149;0.751;3.944;NAN;pksmb,htru_pks;NAN;
1741;B1756-22;J1759-2205;NAN;NAN;NAN;57600.00;7.472;0.810;269.85068333;-22.09250000;0.460982;1.09e-14;177.16;3.900;11.000;0.00;20.00;1.30;NAN;3.256;3.256;0.046;0.423;5.272;NAN;mol2,htru_pks,jb2,pks1,pks70,pksmb;NAN;
1742;J1759-2302;J1759-2302;NAN;NAN;NAN;51115.00;6.702;0.257;269.95512500;-23.03555556;0.810718;1.07e-14;889.00;52.200;NAN;NAN;NAN;1.30;NAN;5.780;5.780;0.026;0.675;2.760;NAN;pksmb,htru_pks;NAN;
1743;J1759-2307;J1759-2307;NAN;NAN;NAN;51110.00;6.593;0.275;269.87893750;-23.12138889;0.558889;3.76e-15;812.60;22.400;52.000;NAN;NAN;0.70;NAN;5.345;5.345;0.026;0.614;3.190;NAN;pksmb,htru_pks;NAN;
1744;J1759-24;J1759-24;NAN;NAN;NAN;56657.00;5.789;-0.156;269.85000000;-24.03333333;1.457739;NAN;772.00;72.300;159.000;NAN;NAN;0.50;NAN;4.870;4.870;-0.013;0.491;3.655;NAN;htru_pks;NAN;
1745;J1759-2549;J1759-2549;NAN;NAN;NAN;51380.00;4.261;-1.082;269.89633333;-25.81861111;0.956549;9.96e-14;424.00;15.600;NAN;NAN;NAN;0.60;NAN;4.841;4.841;-0.091;0.360;3.673;NAN;pksmb,htru_pks;NAN;
1746;J1759-2922;J1759-2922;NAN;NAN;NAN;50856.00;1.202;-2.887;269.95102546;-29.36867382;0.574400;4.63e-15;79.42;10.000;20.000;NAN;13.00;0.56;NAN;2.417;2.417;-0.122;0.051;6.087;NAN;pks70,htru_pks,pksmb;NAN;
1747;J1759-3107;J1759-3107;NAN;NAN;NAN;57600.00;359.629;-3.674;269.84190000;-31.12272222;1.078955;3.77e-15;128.30;14.000;24.000;NAN;NAN;0.91;NAN;3.100;3.100;-0.199;-0.020;5.406;NAN;pksmb,gbncc,htru_pks;NAN;
1748;J1759-5505;J1759-5505;NAN;NAN;NAN;57000.00;338.205;-15.050;269.89233333;-55.09191667;0.373392;4.39e-16;63.00;10.200;NAN;NAN;NAN;0.23;NAN;3.096;3.096;-0.804;-1.110;5.724;NAN;pks_superb;NAN;
1749;J1800+5034;J1800+5034;NAN;NAN;NAN;56500.00;78.130;28.440;270.18488393;50.57271248;0.578375;1.17e-16;22.70;7.100;10.900;NAN;23.50;NAN;NAN;1.936;1.936;0.922;1.666;8.150;NAN;gbncc,lotaas,fast_gpps;NAN;
1750;J1800-0125;J1800-0125;NAN;NAN;NAN;52820.00;25.749;10.678;270.09200000;-1.42516667;0.783185;1.15e-14;50.00;12.000;23.700;NAN;NAN;0.14;NAN;1.477;1.477;0.274;0.631;7.193;NAN;misc,gbncc,htru_pks,fast_gpps;NAN;
1751;J1800-2114;J1800-2114;NAN;NAN;NAN;52360.00;8.306;1.073;270.05125000;-21.23861111;1.799272;5.50e-16;641.00;90.000;NAN;NAN;NAN;0.30;NAN;16.111;16.111;0.302;2.327;-7.439;NAN;pksmb,htru_pks;NAN;
1752;B1757-23;J1800-2343;NAN;NAN;NAN;44969.00;6.132;-0.118;270.00000000;-23.71666667;1.030820;NAN;280.00;NAN;NAN;NAN;4.00;NAN;NAN;3.559;3.559;-0.007;0.380;4.961;NAN;misc;NAN;
1753;B1758-03;J1801-0357;NAN;NAN;NAN;57600.00;23.595;9.257;270.34428333;-3.96547222;0.921493;3.31e-15;120.37;9.000;33.000;0.00;17.00;0.70;NAN;5.740;5.740;0.923;2.268;3.308;NAN;gb3,htru_pks,lotaas,pks70,pkssw;NAN;
1754;J1801-0857A;J1801-0857A;-1.550;-4.470;0.115;58650.00;19.225;6.762;270.46087375;-8.95884806;0.007176;-5.10e-19;182.61;NAN;NAN;NAN;NAN;0.04;0.02;9.200;6.685;1.083;3.008;-0.126;GC:NGC6517;misc;NAN;
1755;J1801-0857C;J1801-0857C;-1.550;-4.470;0.115;58650.00;19.225;6.762;270.46140546;-8.95908306;0.003739;-6.39e-20;182.46;NAN;NAN;NAN;NAN;0.01;0.01;9.200;6.667;1.083;3.008;-0.127;GC:NGC6517;misc;NAN;
1756;J1801-0857D;J1801-0857D;-1.550;-4.470;0.115;58650.00;19.237;6.746;270.48068000;-8.95674556;0.004227;7.68e-21;174.49;NAN;NAN;NAN;NAN;NAN;0.01;9.200;5.835;1.081;3.010;-0.126;GC:NGC6517;misc;NAN;
1757;J1801-0857E;J1801-0857E;-1.550;-4.470;0.115;58650.00;19.225;6.762;270.46093000;-8.95869167;0.007602;-1.04e-18;183.29;NAN;NAN;NAN;NAN;NAN;NAN;9.200;6.759;1.083;3.008;-0.126;GC:NGC6517;fast_crafts;NAN;
1758;J1801-0857F;J1801-0857F;-1.550;-4.470;0.115;58650.00;19.226;6.762;270.46142042;-8.95868611;0.024892;-2.67e-18;183.71;NAN;NAN;NAN;NAN;NAN;NAN;9.200;6.805;1.083;3.008;-0.126;GC:NGC6517;fast_crafts;NAN;
1759;J1801-0857G;J1801-0857G;-1.550;-4.470;0.115;58650.00;19.225;6.765;270.45874583;-8.95775000;0.051591;7.99e-20;185.30;NAN;NAN;NAN;NAN;NAN;NAN;9.200;6.984;1.084;3.008;-0.126;GC:NGC6517;fast_crafts;NAN;
1760;J1801-0857H;J1801-0857H;-1.550;-4.470;0.115;58868.00;19.224;6.752;270.46912292;-8.96476389;0.005643;3.85e-19;179.60;NAN;NAN;NAN;NAN;NAN;NAN;9.200;6.354;1.082;3.008;-0.127;GC:NGC6517[pqm+21];fast_crafts;NAN;
1761;J1801-0857I;J1801-0857I;-1.550;-4.470;0.115;NAN;19.225;6.763;270.46041667;-8.95888889;0.003250;NAN;177.80;NAN;NAN;NAN;NAN;NAN;NAN;9.200;6.173;1.083;3.008;-0.127;GC:NGC6517[pqm+21];fast_crafts;NAN;
1762;J1801-1417;J1801-1417;-10.850;-1.900;0.800;55000.00;14.546;4.162;270.46280567;-14.29292417;0.003625;5.30e-21;57.24;0.600;1.300;NAN;NAN;1.54;NAN;1.104;1.104;0.080;0.277;7.434;GRS:4FGL_J1801.6-1418[aab+22];pksmb,FermiAssoc;HE[fsk+04],HE[aab+22];
1763;J1801-1855;J1801-1855;NAN;NAN;NAN;51495.00;10.447;1.978;270.34291667;-18.93027778;2.550498;1.82e-16;484.00;41.900;NAN;NAN;NAN;0.47;NAN;20.074;20.074;0.693;3.638;-11.229;NAN;pksmb,htru_pks;NAN;
1764;J1801-1909;J1801-1909;NAN;NAN;NAN;51491.00;10.295;1.781;270.44454167;-19.16000000;1.108725;7.03e-16;264.00;40.000;NAN;NAN;NAN;0.50;NAN;4.897;4.897;0.152;0.875;3.684;NAN;pksmb,htru_pks;NAN;
1765;J1801-2115;J1801-2115;NAN;NAN;NAN;51887.00;8.446;0.794;270.38537500;-21.25500000;0.438113;1.55e-17;778.80;47.000;NAN;NAN;NAN;0.19;NAN;14.872;14.872;0.206;2.184;-6.209;NAN;pksmb;NAN;
1766;J1801-2154;J1801-2154;NAN;NAN;NAN;55385.00;7.838;0.554;270.28616667;-21.90198611;0.375302;1.60e-14;386.00;8.400;NAN;NAN;NAN;0.21;NAN;4.132;4.132;0.040;0.563;4.407;NAN;pksmb,htru_pks;NAN;
1767;B1758-23;J1801-2304;NAN;NAN;NAN;57259.00;6.837;-0.066;270.33256200;-23.07906583;0.415827;1.13e-13;1067.85;128.300;265.000;0.55;NAN;7.00;NAN;4.000;6.431;-0.005;0.476;4.528;SNR:W28(?)[fkv93];misc,htru_pks,pks1,pksmb;NAN;
1768;B1757-24;J1801-2451;-11.000;-1.000;NAN;53348.00;5.254;-0.882;270.25006667;-24.85763889;0.124924;1.28e-13;291.55;4.800;12.000;NAN;7.80;1.46;NAN;3.803;3.803;-0.059;0.348;4.713;GRS:4FGL_J1801.2-2450[aab+22],SNR:G5.4-1;misc,FermiBlind,htru_pks,pksmb;HE[aab+22];
1769;B1758-29;J1801-2920;NAN;NAN;NAN;57600.00;1.437;-3.249;270.44516250;-29.34391667;1.081910;3.29e-15;125.61;7.400;61.000;NAN;NAN;2.60;NAN;3.013;3.013;-0.171;0.075;5.493;NAN;pks1,gbncc,htru_pks,pksmb;NAN;
1770;J1801-3458;J1801-3458;NAN;NAN;NAN;53112.00;356.517;-6.023;270.46941667;-34.97694444;1.385604;3.97e-16;146.00;47.000;110.000;NAN;NAN;0.11;NAN;5.914;5.914;-0.621;-0.357;2.630;NAN;pksmb;NAN;
1771;J1802+0128;J1802+0128;NAN;NAN;NAN;51650.00;28.612;11.562;270.61437500;1.47325000;0.554262;2.11e-15;98.00;4.200;6.500;NAN;NAN;NAN;NAN;7.686;7.686;1.540;3.606;1.889;NAN;pkssw,gbncc,fast_gpps;NAN;
1772;J1802+03;J1802+03;NAN;NAN;NAN;56362.00;30.608;12.488;270.68333333;3.63333333;0.664300;NAN;77.00;NAN;NAN;NAN;NAN;NAN;NAN;5.099;5.099;1.103;2.535;4.215;NAN;ar327;NAN;
1773;J1802-0523;J1802-0523;NAN;NAN;NAN;56908.00;22.425;8.398;270.55058333;-5.39138889;1.680573;2.65e-15;121.00;64.400;146.000;NAN;NAN;0.15;NAN;4.070;4.070;0.594;1.536;4.778;NAN;htru_pks;NAN;
1774;J1802-1745;J1802-1745;NAN;NAN;NAN;51719.00;11.573;2.377;270.56187500;-17.75472222;0.514671;5.64e-16;264.20;8.800;NAN;NAN;NAN;0.21;NAN;6.598;6.598;0.274;1.323;2.042;NAN;pksmb,htru_pks;NAN;
1775;J1802-2426;J1802-2426;NAN;NAN;NAN;51495.00;5.731;-0.886;270.51291667;-24.44527778;0.569007;8.56e-15;711.00;22.200;NAN;NAN;NAN;0.60;NAN;12.868;12.868;-0.199;1.285;-4.302;NAN;pksmb,htru_pks;NAN;
1776;J1802-3346;J1802-3346;NAN;NAN;NAN;54894.00;357.675;-5.629;270.73000000;-33.77916667;2.461052;1.32e-15;217.00;76.600;77.000;NAN;NAN;0.20;NAN;13.673;13.673;-1.341;-0.552;-5.096;NAN;htru_pks;NAN;
1777;J1803+1358;J1803+1358;NAN;NAN;NAN;NAN;40.299;16.902;270.79583333;13.99055556;0.001520;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:4FGL_J1803.2+1402[aab+22];FermiAssoc;NRAD[aab+22];
1778;J1803+47;J1803+47;NAN;NAN;NAN;NAN;74.372;27.466;270.75000000;47.13333333;0.346900;NAN;29.50;NAN;NAN;NAN;NAN;NAN;NAN;2.836;2.836;1.308;2.423;7.822;NAN;pumps;NAN;
1779;J1803-1616;J1803-1616;NAN;NAN;NAN;51991.00;13.020;2.827;270.89450000;-16.27500000;0.536596;1.77e-15;388.00;19.000;NAN;NAN;NAN;0.16;NAN;19.037;19.037;0.939;4.284;-10.025;NAN;pksmb,htru_pks;NAN;
1780;J1803-1857;J1803-1857;NAN;NAN;NAN;51491.00;10.730;1.428;270.99608333;-18.95527778;2.864338;1.52e-14;392.00;25.600;43.000;NAN;NAN;0.40;NAN;10.787;10.787;0.269;2.008;-2.095;NAN;pksmb,htru_pks;NAN;
1781;J1803-1920;J1803-1920;NAN;NAN;NAN;51843.00;10.334;1.338;270.87266667;-19.34472222;0.443649;3.30e-16;436.10;11.000;NAN;NAN;NAN;0.27;NAN;12.537;12.537;0.293;2.248;-3.830;NAN;pksmb,htru_pks;NAN;
1782;B1800-21;J1803-2137;11.600;15.000;NAN;51544.00;8.395;0.146;270.96421042;-21.61870861;0.133667;1.34e-13;233.99;13.000;44.000;0.01;23.00;9.60;9.30;4.400;3.422;0.011;0.642;4.147;SNR:G8.7-0.1(?)[kw90],GRS:J1804-216(?)[a;jb2,htru_pks,pks1,pksmb;HE;
1783;J1803-2149;J1803-2149;NAN;NAN;NAN;56391.00;8.140;0.187;270.79013333;-21.82027778;0.106334;1.95e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:4FGL_J1803.1-2148[aab+22];FermiBlind;NRAD;
1784;J1803-3002A;J1803-3002A;2.570;-6.440;0.125;58700.00;1.025;-3.925;270.89166667;-30.03388889;0.007101;4.00e-20;192.62;NAN;NAN;NAN;NAN;0.70;0.31;7.300;5.805;-0.500;0.130;1.218;GC:NGC6522;misc;NAN;
1785;J1803-3002B;J1803-3002B;2.570;-6.440;0.125;54100.00;1.025;-3.925;270.89166667;-30.03388889;0.004397;NAN;192.60;NAN;NAN;NAN;NAN;NAN;NAN;7.300;5.802;-0.500;0.130;1.218;GC:NGC6522;misc;NAN;
1786;J1803-3002C;J1803-3002C;2.570;-6.440;0.125;59206.21;1.024;-3.931;270.89675417;-30.03736111;0.005840;6.97e-19;193.88;NAN;NAN;NAN;NAN;NAN;NAN;7.300;5.938;-0.500;0.130;1.218;GC:NGC6522;misc;NAN;
1787;J1803-3002D;J1803-3002D;2.570;-6.440;0.125;NAN;1.025;-3.925;270.89166667;-30.03388889;0.005530;NAN;192.73;NAN;NAN;NAN;NAN;0.03;NAN;7.300;5.815;-0.500;0.130;1.218;GC:NGC6522;meerkat_trapum;NAN;
1788;J1803-3002E;J1803-3002E;NAN;NAN;NAN;59205.00;1.023;-3.927;270.89225000;-30.03638889;0.017926;NAN;192.79;NAN;NAN;NAN;NAN;NAN;NAN;5.825;5.825;-0.399;0.104;2.690;GC:NGC6522[arf+23];meerkat_trapum;NAN;
1789;J1803-3002F;J1803-3002F;NAN;NAN;NAN;59625.00;1.018;-3.932;270.89458333;-30.04222222;0.148136;NAN;195.80;NAN;NAN;NAN;NAN;NAN;NAN;6.120;6.120;-0.420;0.109;2.395;GC:NGC6522[arf+23];meerkat_trapum;NAN;
1790;J1803-3329;J1803-3329;NAN;NAN;NAN;55152.00;358.015;-5.637;270.93522083;-33.48630556;0.633412;3.37e-16;170.90;13.000;21.000;NAN;NAN;NAN;NAN;7.810;7.810;-0.767;-0.269;0.732;NAN;htru_pks,gbncc;NAN;
1791;J1804-17;J1804-17;NAN;NAN;NAN;NAN;12.170;2.042;271.17500000;-17.40000000;0.280781;NAN;549.00;41.700;NAN;NAN;NAN;0.24;NAN;22.258;22.258;0.793;4.689;-13.244;NAN;pksmb;NAN;
1792;J1804-2228;J1804-2228;NAN;NAN;NAN;51414.00;7.722;-0.397;271.11745833;-22.47166667;0.570511;1.43e-16;424.00;27.300;NAN;NAN;NAN;0.20;NAN;4.054;4.054;-0.028;0.545;4.483;NAN;pksmb,htru_pks;NAN;
1793;J1804-28;J1804-28;NAN;NAN;NAN;51973.70;2.833;-3.225;271.20000000;-28.11666667;1.273011;NAN;213.00;17.000;67.000;NAN;NAN;0.40;NAN;5.468;5.468;-0.308;0.270;3.047;NAN;pksmb,gbncc,htru_pks;NAN;
1794;J1804-2858;J1804-2858;-6.400;-11.000;NAN;57425.00;1.995;-3.498;271.00634679;-28.97961333;0.001493;-7.57e-22;232.53;NAN;NAN;NAN;NAN;0.92;NAN;8.235;8.235;-0.502;0.286;0.285;NAN;htru_pks;NAN;
