#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
122;J0406+6138;12.400;22.740;0.220;53784.00;144.025;7.046;61.62533583;61.64483556;0.594576;5.57e-15;65.41;0.00;15.00;2.80;NAN;4.545;0.558;2.650;12.151;NAN;gb1,gb2,gb3,gb4,lotaas;
123;J0408+551;NAN;NAN;NAN;54100.00;148.663;2.267;62.00000000;55.00000000;1.837000;NAN;55.00;NAN;NAN;NAN;NAN;1.573;0.062;0.817;9.842;NAN;gb350,lotaas;
124;J0408+552;NAN;NAN;NAN;54100.00;148.663;2.267;62.00000000;55.00000000;0.754000;NAN;64.00;NAN;NAN;NAN;NAN;1.663;0.066;0.864;9.919;NAN;gb350;
125;J0410-31;NAN;NAN;NAN;55196.00;230.586;-46.671;62.66250000;-31.12472222;1.878500;NAN;9.20;NAN;NAN;NAN;NAN;0.415;-0.302;-0.220;8.681;NAN;htru_pks;
126;J0413+58;NAN;NAN;NAN;54100.00;147.122;4.934;63.25000000;58.00000000;0.687000;NAN;57.00;NAN;NAN;NAN;NAN;1.630;0.140;0.882;9.864;NAN;gb350,lotaas;
127;J0415+6954;-0.757;-12.626;NAN;49874.00;138.911;13.667;63.98188898;69.90274737;0.390715;7.66e-17;27.45;NAN;6.40;0.50;NAN;1.368;0.323;0.874;9.502;NAN;gb2,gb4,gbncc,lotaas;
128;J0417+35;NAN;NAN;NAN;49717.00;163.219;-10.518;64.42916667;35.75000000;0.654400;NAN;48.53;NAN;NAN;NAN;NAN;1.480;-0.270;0.420;9.893;NAN;ar4,lotaas;
129;J0417+61;NAN;NAN;NAN;56292.00;145.299;7.540;64.25000000;61.13333333;0.440283;NAN;71.00;NAN;1.50;NAN;NAN;1.847;0.242;1.042;10.005;NAN;gbncc;
130;J0418-4154;NAN;NAN;NAN;57600.00;246.262;-45.682;64.51572833;-41.90400556;0.757119;1.32e-15;24.32;NAN;NAN;NAN;NAN;2.519;-1.802;-1.611;9.208;NAN;ghrss;
131;J0418+5732;NAN;NAN;NAN;55045.00;147.979;5.119;64.64111250;57.53969722;9.078388;4.10e-15;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;XRS:SGR_0418+5729;misc;
132;J0419+44;NAN;NAN;NAN;54100.00;157.525;-4.494;64.75000000;44.00000000;1.241000;NAN;71.00;NAN;NAN;NAN;NAN;1.687;-0.132;0.643;10.054;NAN;gb350;
133;J0420-5022;NAN;NAN;NAN;55430.60;258.136;-44.386;65.00812500;-50.38002778;3.453004;2.76e-14;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];misc;
134;J0421-0345;NAN;NAN;NAN;50847.00;197.504;-34.757;65.38981694;-3.75183645;2.161308;1.16e-15;44.61;NAN;6.00;0.50;NAN;2.196;-1.252;-0.543;10.221;NAN;pks70;
135;J0421+3255;NAN;NAN;NAN;57310.00;165.840;-11.921;65.38833333;32.93055556;0.900105;6.00e-17;77.02;NAN;NAN;NAN;NAN;1.939;-0.401;0.464;10.340;NAN;misc,lotaas;
136;J0426+4933;NAN;NAN;NAN;56100.00;154.436;0.288;66.52838750;49.56068333;0.922475;3.93e-14;85.00;NAN;NAN;0.19;NAN;1.802;0.009;0.778;10.126;NAN;gb350,htru_eff,lotaas;
137;J0435+2749;NAN;NAN;NAN;53400.00;171.842;-13.071;68.96590833;27.81713889;0.326279;8.17e-18;53.19;NAN;2.00;0.24;NAN;1.521;-0.344;0.210;9.967;NAN;ar4,lotaas;
138;J0447-04;NAN;NAN;NAN;56657.00;202.072;-29.657;71.75000000;-4.58333333;2.188190;NAN;29.83;NAN;NAN;NAN;NAN;0.675;-0.334;-0.220;9.044;NAN;gb350;
139;J0448-2749;NAN;NAN;NAN;51009.00;228.347;-37.918;72.17319758;-27.82964862;0.450448;1.48e-16;26.22;NAN;2.00;2.00;NAN;1.809;-1.112;-1.066;9.448;NAN;pks70,pkshl;
140;J0449-7031;NAN;NAN;NAN;52465.00;282.286;-35.512;72.27362500;-70.52547222;0.479164;3.37e-15;65.83;NAN;NAN;0.14;NAN;49.700;-28.869;-39.529;-0.109;EXGAL:LMC;misc;
141;J0450-1248;NAN;NAN;NAN;49338.00;211.075;-32.629;72.53658750;-12.80197222;0.438014;1.03e-16;37.04;0.00;11.00;1.20;NAN;1.774;-0.957;-0.771;9.780;NAN;mol2,pks70;
142;J0451-67;NAN;NAN;NAN;52817.00;278.410;-36.290;72.95833333;-67.30000000;0.245454;0.00e+00;45.00;NAN;NAN;0.05;NAN;49.700;-29.416;-39.629;2.641;EXGAL:LMC;misc;
143;J0452-1759;11.500;6.000;0.600;52275.00;217.078;-34.087;73.14210708;-17.98982528;0.548939;5.75e-15;39.90;0.00;82.00;16.80;NAN;0.400;-0.224;-0.200;8.764;NAN;mol1,mol2,pks70;
144;J0454+4529;NAN;NAN;NAN;56909.00;160.706;1.243;73.74712500;45.49630556;1.389137;4.89e-15;20.83;NAN;NAN;NAN;NAN;0.765;0.017;0.253;9.222;NAN;lotaas;
145;J0454+5543;53.340;-17.560;0.840;52275.00;152.617;7.547;73.53229417;55.72817694;0.340729;2.37e-15;14.59;0.00;59.00;13.00;NAN;1.180;0.155;0.538;9.539;NAN;gb1,gb2,gb4,gbncc,lotaas;
146;J0455-6951;NAN;NAN;NAN;48757.00;281.290;-35.187;73.94812500;-69.85952778;0.320423;1.02e-14;94.89;NAN;0.60;NAN;NAN;49.700;-28.640;-39.832;0.548;EXGAL:LMC;misc;
147;J0456-69;NAN;NAN;NAN;52038.00;280.457;-35.334;74.12500000;-69.16666667;0.117073;NAN;103.00;NAN;NAN;NAN;NAN;49.700;-28.744;-39.872;1.141;EXGAL:LMC;misc;
148;J0456-7031;NAN;NAN;NAN;52560.00;282.049;-34.966;74.01041667;-70.51850000;0.800132;3.67e-14;100.30;NAN;NAN;0.05;NAN;49.700;-28.483;-39.831;-0.002;EXGAL:LMC;misc;
149;J0457+23;NAN;NAN;NAN;56160.00;178.305;-12.005;74.27500000;23.56666667;0.504900;NAN;59.00;NAN;NAN;NAN;NAN;1.517;-0.316;0.044;9.983;NAN;ar327,lotaas;
150;J0457-6337;NAN;NAN;NAN;52465.00;273.816;-36.701;74.28245833;-63.62511111;2.497012;2.10e-16;27.50;NAN;NAN;0.18;NAN;1.333;-0.797;-1.066;8.429;NAN;misc;
151;J0457-69;NAN;NAN;NAN;55383.00;281.143;-35.113;74.25833333;-69.76666667;0.231390;NAN;91.00;NAN;NAN;NAN;NAN;49.700;-28.587;-39.889;0.643;EXGAL:LMC;misc;
152;J0458-0505;NAN;NAN;NAN;55178.00;204.139;-27.348;74.65467083;-5.08475000;1.883480;5.30e-16;47.81;NAN;NAN;NAN;NAN;1.938;-0.890;-0.704;10.071;NAN;gb350;
153;J0458-67;NAN;NAN;NAN;51810.00;278.670;-35.518;74.74583333;-67.71666667;1.133900;NAN;97.00;NAN;NAN;NAN;NAN;49.700;-28.873;-39.990;2.402;EXGAL:LMC;misc;
154;J0459-0210;NAN;NAN;NAN;50845.00;201.444;-25.678;74.96642205;-2.16850891;1.133076;1.40e-15;21.02;NAN;11.00;0.60;NAN;0.160;-0.069;-0.053;8.634;NAN;pks70,lotaas;
155;J0501+4516;NAN;NAN;NAN;54750.00;161.547;1.949;75.27816667;45.27608889;5.762097;5.82e-12;NAN;NAN;NAN;NAN;NAN;2.200;0.075;0.696;10.586;SNR:G160.9+2.6,OPT:[dml+11];misc;
156;J0502+4654;-8.000;8.000;NAN;48717.00;160.363;3.077;75.51900417;46.90169167;0.638565;5.58e-15;41.83;0.00;10.80;2.50;NAN;1.319;0.071;0.443;9.740;NAN;gb1,gb3,gbncc;
157;J0502-6617;NAN;NAN;NAN;48771.00;276.869;-35.504;75.71054167;-66.29966667;0.691251;2.31e-14;68.90;NAN;1.00;NAN;NAN;49.700;-28.864;-40.169;3.661;EXGAL:LMC;misc;
158;J0511-6508;NAN;NAN;NAN;52409.00;275.250;-34.827;77.98541667;-65.14347222;0.322062;2.06e-16;25.66;NAN;NAN;0.60;NAN;0.818;-0.467;-0.669;8.439;NAN;misc;
159;J0514-4408;NAN;NAN;NAN;57330.00;249.515;-35.365;78.71745833;-44.14371667;0.320271;2.04e-15;15.12;NAN;NAN;NAN;NAN;0.966;-0.559;-0.738;8.776;GRS:[brs+19];ghrss;
160;J0517+2212;NAN;NAN;NAN;53400.00;182.176;-9.012;79.32144583;22.21441667;0.222367;1.16e-17;18.70;NAN;7.00;0.46;NAN;0.159;-0.025;-0.006;8.657;NAN;ar4,lotaas;
161;J0518+5125;NAN;NAN;NAN;57829.00;158.262;7.903;79.60893750;51.43297222;0.912512;1.91e-16;39.24;NAN;NAN;NAN;NAN;1.337;0.184;0.490;9.730;NAN;lotaas;
162;J0518+5416;NAN;NAN;NAN;56500.00;155.916;9.557;79.72166526;54.28055748;0.340203;1.68e-15;42.33;NAN;NAN;NAN;NAN;1.434;0.238;0.577;9.791;NAN;gbncc,lotaas;
163;J0519+44;NAN;NAN;NAN;54100.00;164.464;3.754;79.75000000;44.00000000;0.515000;NAN;52.00;NAN;NAN;NAN;NAN;1.421;0.093;0.380;9.866;NAN;gb350;
164;J0519-6932;NAN;NAN;NAN;52466.00;280.287;-33.254;79.94548750;-69.53985556;0.263212;6.97e-16;119.40;NAN;NAN;0.14;NAN;49.700;-27.253;-40.894;1.078;EXGAL:LMC;misc;
165;J0520-2553;NAN;NAN;NAN;51216.00;228.434;-30.543;80.15077229;-25.88674819;0.241642;3.01e-17;33.77;NAN;8.00;0.80;NAN;2.379;-1.209;-1.533;9.859;NAN;pks70,pkshl;
166;J0521-68;NAN;NAN;NAN;51871.00;279.124;-33.262;80.43333333;-68.58333333;0.433421;NAN;136.00;NAN;NAN;NAN;NAN;49.700;-27.259;-41.032;1.910;EXGAL:LMC;misc;
167;J0522-6847;NAN;NAN;NAN;52503.00;279.348;-33.168;80.59608333;-68.78394444;0.674532;1.77e-14;126.45;NAN;NAN;0.19;NAN;49.700;-27.191;-41.050;1.743;EXGAL:LMC;misc;
168;J0525+1115;31.000;-1.000;NAN;48262.00;192.695;-13.246;81.48520125;11.25530000;0.354438;7.36e-17;79.42;0.00;19.50;1.70;NAN;1.841;-0.422;-0.394;10.248;NAN;mol2,gb4,lotaas;
169;J0525-6607;NAN;NAN;NAN;52153.00;276.087;-33.246;81.50375000;-66.07675000;8.047000;6.50e-11;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];misc;
170;J0528+2200;-20.000;7.000;NAN;53100.00;183.856;-6.896;82.21776667;22.00111111;3.745539;4.01e-14;50.87;0.00;57.00;8.90;NAN;1.215;-0.146;-0.081;9.703;NAN;gb1,gb3,gb4,lotaas;
171;J0529-0715;NAN;NAN;NAN;NAN;210.065;-21.582;82.28738750;-7.25734167;0.689224;5.75e-16;87.30;NAN;NAN;0.12;NAN;7.002;-2.576;-3.262;14.135;NAN;fast_uwb;
172;J0529-6652;NAN;NAN;NAN;57600.00;276.975;-32.763;82.46208333;-66.87775000;0.975737;1.55e-14;103.20;NAN;NAN;0.30;NAN;49.700;-26.896;-41.484;3.425;EXGAL:LMC;misc;
173;J0532-6639;NAN;NAN;NAN;52462.00;276.675;-32.481;83.24795833;-66.66036111;0.642743;5.35e-15;69.30;NAN;NAN;0.08;NAN;49.700;-26.690;-41.641;3.627;EXGAL:LMC;misc;
174;J0532-69;NAN;NAN;NAN;55420.00;280.333;-32.163;83.01666667;-69.76666667;1.149196;NAN;124.00;NAN;NAN;NAN;NAN;49.700;-26.457;-41.391;0.954;EXGAL:LMC;misc;
175;J0533+0402;NAN;NAN;NAN;57600.00;200.085;-15.326;83.35761667;4.03325000;0.963018;1.60e-16;83.70;0.00;NAN;0.70;NAN;2.172;-0.574;-0.719;10.467;NAN;gb4,lotaas;
176;J0533-4524;NAN;NAN;NAN;57605.56;251.461;-32.264;83.30787500;-45.41394444;0.157285;2.80e-16;18.93;NAN;NAN;NAN;NAN;1.239;-0.661;-0.993;8.833;NAN;misc;
177;J0533+6759;NAN;NAN;NAN;55877.00;144.780;18.183;83.47975042;67.98819139;0.004388;1.26e-20;57.37;NAN;NAN;NAN;NAN;2.392;0.746;1.311;10.357;GRS:3FGL_J0534.0+6759[san16];FermiAssoc;
178;J0534+2200;-14.700;2.000;NAN;40706.00;184.558;-5.784;83.63322083;22.01446111;0.033392;4.21e-13;56.77;0.00;550.00;14.00;NAN;2.000;-0.202;-0.158;10.484;SNR:PWN:Crab[ccl+69],GRS:2FGL_J0534.5+22;misc,ar4,gb4,lotaas;
179;J0534+34;NAN;NAN;NAN;NAN;174.353;0.746;83.62500000;34.11666667;NAN;NAN;24.50;NAN;NAN;NAN;NAN;0.403;0.005;0.040;8.901;NAN;misc;
180;J0534-6703;NAN;NAN;NAN;52410.00;277.129;-32.279;83.65070833;-67.06355556;1.817565;4.25e-13;94.70;NAN;NAN;0.08;NAN;49.700;-26.542;-41.694;3.286;EXGAL:LMC;misc;
181;J0535-66;NAN;NAN;NAN;51393.00;276.884;-32.197;83.91666667;-66.86666667;0.210524;NAN;75.00;NAN;NAN;NAN;NAN;49.700;-26.481;-41.754;3.459;EXGAL:LMC;misc;
182;J0535-6935;NAN;NAN;NAN;52200.00;280.076;-31.936;83.75000000;-69.58333333;0.200511;1.15e-14;93.70;NAN;NAN;0.05;NAN;49.700;-26.290;-41.527;1.121;EXGAL:LMC;misc;
183;J0536-7543;3.000;65.000;NAN;57600.00;287.161;-30.821;84.12841667;-75.73188889;1.245856;5.78e-16;18.58;NAN;75.00;8.40;NAN;0.143;-0.073;-0.117;8.464;NAN;mol2,pks70;
184;J0537-69;NAN;NAN;NAN;55420.00;279.768;-31.730;84.42916667;-69.35000000;0.112613;NAN;273.00;NAN;NAN;NAN;NAN;49.700;-26.138;-41.659;1.328;EXGAL:LMC;misc;
185;J0537-6910;NAN;NAN;NAN;52061.33;279.559;-31.745;84.44756667;-69.17218889;0.016122;5.18e-14;NAN;NAN;NAN;0.00;NAN;49.700;-26.149;-41.678;1.481;EXGAL:LMC,SNR:N157B;misc;
186;J0538+2817;-23.570;52.870;0.720;52275.00;179.719;-1.686;84.60440500;28.28587806;0.143158;3.67e-15;39.57;NAN;8.20;1.90;NAN;1.300;-0.038;0.006;9.799;SNR:S147[acj+96];ar4,gb4,lotaas;
187;J0540+3207;NAN;NAN;NAN;54780.00;176.719;0.761;85.15465000;32.12702778;0.524271;4.48e-16;61.97;NAN;NAN;0.34;NAN;1.421;0.019;0.081;9.919;NAN;palfa,lotaas;
188;J0540-6919;NAN;NAN;NAN;51722.00;279.717;-31.516;85.04667500;-69.33171389;0.050570;4.79e-13;146.50;NAN;0.00;0.02;NAN;49.700;-25.980;-41.761;1.349;EXGAL:LMC,SNR:0540-693;misc;
189;J0540-7125;NAN;NAN;NAN;49527.17;282.148;-31.236;85.12833333;-71.42538889;1.286015;8.20e-16;29.41;NAN;5.00;0.30;NAN;0.547;-0.284;-0.457;8.402;NAN;pks70;
190;J0542-68;NAN;NAN;NAN;51975.00;278.449;-31.406;85.64583333;-68.26666667;0.425189;NAN;114.00;NAN;NAN;NAN;NAN;49.700;-25.899;-41.958;2.267;EXGAL:LMC;misc;
191;J0543+2329;19.000;12.000;NAN;55580.00;184.542;-3.422;85.79583333;23.27780556;0.245984;1.54e-14;77.70;0.00;29.00;10.70;NAN;1.565;-0.093;-0.124;10.057;XRS:[pb15];jb1,gb1,ar4,gb4,lotaas;
192;J0543-6851;NAN;NAN;NAN;52410.00;279.125;-31.235;85.96962500;-68.85702778;0.708954;3.94e-15;131.00;NAN;NAN;0.22;NAN;49.700;-25.772;-41.958;1.760;EXGAL:LMC;misc;
193;J0544+20;NAN;NAN;NAN;NAN;186.756;-4.495;86.05000000;20.83333333;NAN;NAN;56.90;NAN;NAN;NAN;NAN;1.283;-0.101;-0.150;9.770;NAN;ar327;
194;J0545-03;NAN;NAN;NAN;56657.00;208.094;-16.213;86.25000000;-3.16666667;1.073930;NAN;67.20;NAN;NAN;NAN;NAN;2.062;-0.576;-0.932;10.247;NAN;gb350;
195;J0546+2441;NAN;NAN;NAN;52914.00;183.728;-2.045;86.61983333;24.68916667;2.843850;7.65e-15;73.81;NAN;2.65;NAN;NAN;1.517;-0.054;-0.099;10.013;NAN;ar4,lotaas;
196;J0550+09;NAN;NAN;NAN;57022.00;197.055;-8.774;87.61666667;9.85000000;1.745000;NAN;86.60;NAN;NAN;NAN;NAN;1.804;-0.275;-0.523;10.204;NAN;ar327;
197;J0554+3107;NAN;NAN;NAN;55214.00;179.058;2.697;88.52087500;31.12805556;0.464961;1.43e-13;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;SNR:G179.0+2.6(?)[pga+13],GRS:3FGL_J0554;FermiBlind;
198;J0555+3948;NAN;NAN;NAN;56375.00;171.610;7.192;88.75000000;39.80000000;1.146906;NAN;37.00;NAN;NAN;NAN;NAN;1.090;0.136;0.158;9.570;NAN;htru_eff,lotaas;
199;J0555-7056;NAN;NAN;NAN;52408.00;281.460;-30.119;88.75770833;-70.94600000;0.827838;5.96e-15;73.40;NAN;NAN;0.21;NAN;49.700;-24.939;-42.133;-0.042;EXGAL:LMC;misc;
200;J0557-2948;NAN;NAN;NAN;57381.00;235.470;-23.989;89.38749792;-29.80466778;0.043643;7.30e-20;49.05;NAN;NAN;NAN;NAN;4.272;-1.737;-3.215;10.712;NAN;gbncc;
201;J0600-5756;NAN;NAN;NAN;43557.36;266.492;-29.343;90.19375000;-57.94833333;2.261365;2.78e-15;30.00;NAN;2.10;NAN;NAN;0.553;-0.271;-0.481;8.529;NAN;mol2,pks70;
202;J0601-0527;-7.360;-15.240;0.480;49379.00;212.199;-13.481;90.49573000;-5.46413083;0.395969;1.30e-15;80.54;0.00;22.70;2.60;NAN;2.083;-0.486;-1.080;10.214;NAN;mol2,pks70;
203;J0608+00;NAN;NAN;NAN;56033.00;207.445;-9.171;92.20416667;0.65000000;1.076200;NAN;48.00;NAN;NAN;NAN;NAN;1.295;-0.206;-0.589;9.635;NAN;ar327,lotaas;
204;J0609+16;NAN;NAN;NAN;NAN;193.424;-1.504;92.30416667;16.56666667;0.945800;NAN;84.00;NAN;NAN;NAN;NAN;1.629;-0.043;-0.378;10.084;NAN;misc;
205;J0609+2130;NAN;NAN;NAN;52758.00;189.192;1.040;92.49535875;21.50078889;0.055698;2.35e-19;38.73;NAN;0.80;NAN;NAN;0.574;0.010;-0.092;9.067;NAN;ar4,lotaas;
206;J0611+04;NAN;NAN;NAN;57022.00;204.655;-7.012;92.82500000;4.10000000;1.674430;NAN;69.90;NAN;NAN;NAN;NAN;1.662;-0.203;-0.688;9.999;NAN;ar327;
207;J0611+1436;NAN;NAN;NAN;55818.00;195.378;-2.004;92.82770417;14.61444444;0.270329;4.00e-15;45.70;NAN;NAN;1.10;NAN;0.890;-0.031;-0.236;9.358;NAN;palfa;
208;J0611+30;NAN;NAN;NAN;49717.00;181.624;5.496;92.81666667;30.26666667;1.412090;NAN;45.26;NAN;1.40;NAN;NAN;1.080;0.103;-0.030;9.575;NAN;misc,lotaas;
209;J0612+3721;5.113;4.884;NAN;49679.00;175.450;9.093;93.20286134;37.36037689;0.297982;5.95e-17;27.15;0.00;16.00;4.00;NAN;0.535;0.085;0.042;9.027;NAN;gb3,lotaas;
210;J0612+37216;NAN;NAN;NAN;56500.00;175.442;9.080;93.18375562;37.36117381;0.443871;1.50e-16;39.27;NAN;NAN;NAN;NAN;1.083;0.171;0.085;9.566;NAN;gbncc,lotaas;
211;J0613+3731;NAN;NAN;NAN;56000.00;175.336;9.239;93.30062500;37.52730556;0.619198;3.24e-15;18.99;NAN;1.60;0.13;NAN;0.186;0.030;0.015;8.683;NAN;misc,lotaas;
212;J0614+2229;-0.240;-1.250;0.280;49674.00;188.795;2.394;93.57085750;22.49912444;0.334960;5.94e-14;96.91;0.00;29.00;3.30;NAN;3.571;0.149;-0.546;12.026;NAN;jb1,gb1,gb3,gb4,lotaas;
213;J0614+83;NAN;NAN;NAN;56292.00;130.353;25.833;93.50000000;83.23333333;1.039203;NAN;44.00;NAN;1.90;NAN;NAN;3.662;1.596;2.512;10.634;NAN;gbncc;
214;J0621+0336;NAN;NAN;NAN;54236.00;206.246;-5.058;95.29675417;3.61264444;0.269954;7.24e-18;72.59;NAN;NAN;1.00;NAN;1.702;-0.150;-0.750;10.021;NAN;pkspa,lotaas;
215;J0621-55;NAN;NAN;NAN;NAN;264.804;-26.411;95.17500000;-56.08333333;NAN;NAN;22.00;NAN;NAN;NAN;NAN;0.380;-0.169;-0.339;8.531;NAN;pks_superb;
216;J0622+3749;NAN;NAN;NAN;55225.00;175.877;10.958;95.54379167;37.82044444;0.333208;2.54e-14;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:2FGL_J0621.9+3750;FermiBlind;
217;J0623+0340;NAN;NAN;NAN;54666.00;206.497;-4.459;95.94482917;3.66855556;0.613760;8.84e-17;54.00;NAN;NAN;0.27;NAN;1.375;-0.107;-0.612;9.727;NAN;pkspa;
218;J0624-0424;NAN;NAN;NAN;49876.00;213.792;-8.036;96.08345088;-4.41401459;1.039076;8.30e-16;70.83;0.00;4.90;1.40;NAN;1.938;-0.271;-1.067;10.095;NAN;mol2,gb2,pks70,lotaas;
219;J0625+10;NAN;NAN;NAN;49717.00;200.878;-0.956;96.43750000;10.26666667;0.498397;NAN;78.00;NAN;NAN;0.09;NAN;1.637;-0.027;-0.583;10.029;NAN;ar4,palfa;
220;J0627+0649;NAN;NAN;NAN;54466.00;204.166;-2.085;96.97345250;6.83170278;0.346523;1.70e-15;86.60;NAN;NAN;1.89;NAN;1.794;-0.065;-0.734;10.136;NAN;pkspa,ar327;
221;J0627+0706;NAN;NAN;NAN;57600.00;203.902;-1.991;96.93405000;7.10916667;0.475885;2.98e-14;138.25;NAN;6.00;1.39;NAN;2.289;-0.080;-0.927;10.591;NAN;ar4,pkspa,lotaas;
222;J0627+16;NAN;NAN;NAN;54466.00;195.793;2.124;96.80416667;16.20000000;2.180000;NAN;113.00;NAN;NAN;NAN;NAN;1.932;0.072;-0.525;10.358;NAN;palfa;
223;J0628+0909;NAN;NAN;NAN;54990.00;202.190;-0.851;97.15076250;9.15386111;1.241421;5.48e-16;88.30;NAN;NAN;0.06;NAN;1.771;-0.026;-0.669;10.140;NAN;palfa;
224;J0629+2415;3.560;-4.680;0.320;49438.00;188.817;6.223;97.27386375;24.26154056;0.476623;2.00e-15;84.18;0.00;31.00;3.20;NAN;3.125;0.339;-0.476;11.570;NAN;gb1,gb3,gb4,lotaas;
225;J0630-0046;NAN;NAN;NAN;54355.00;211.220;-5.020;97.61231667;-0.76829167;0.680575;3.75e-15;97.30;NAN;NAN;0.41;NAN;2.103;-0.184;-1.086;10.292;NAN;pkspa;
226;J0630+19;NAN;NAN;NAN;57022.00;193.071;4.303;97.51666667;19.61666667;1.248550;NAN;48.10;NAN;NAN;NAN;NAN;0.982;0.074;-0.221;9.454;NAN;ar327;
227;J0630-2834;-46.300;21.260;3.010;54100.00;236.952;-16.758;97.70585164;-28.57854967;1.244419;7.12e-15;34.42;0.00;206.00;31.90;NAN;0.320;-0.092;-0.257;8.667;XRS:RX_J0630.8-2834[bjk+05];mol1,mol2,pks70,pkshl;
228;J0631+0646;NAN;NAN;NAN;55806.00;204.678;-1.238;97.96825000;6.77061111;0.110979;3.62e-15;195.20;NAN;NAN;NAN;NAN;4.583;-0.099;-1.913;12.663;GRS:3FGL_J0631.6+0644[aaa+15];FermiBlind;
229;J0631+1036;NAN;NAN;NAN;53850.00;201.219;0.450;97.86468333;10.61736111;0.287800;1.05e-13;125.36;NAN;1.50;0.90;NAN;2.105;0.017;-0.762;10.462;GRS:2FGL_J0631.5+1035[naa+12];misc,ar4,palfa;
230;J0633+0632;NAN;NAN;NAN;54945.00;205.093;-0.932;98.43420833;6.54302778;0.297395;7.96e-14;NAN;NAN;NAN;NAN;NAN;1.355;-0.022;-0.575;9.727;GRS:2FGL_J0633.7+0633[naa+12],XRS:Swift_;FermiBlind;
231;J0633+1746;138.000;97.000;6.400;49793.00;195.134;4.266;98.47563750;17.77025250;0.237099;1.10e-14;2.89;NAN;NAN;NAN;NAN;0.190;0.014;-0.049;8.683;GRS:2CG195+04(Geminga),GRS:2FGL_J0633.9+;misc;
232;J0633-2015;NAN;NAN;NAN;53389.00;229.260;-12.968;98.28691667;-20.25197222;3.253211;3.82e-15;90.70;NAN;NAN;0.20;NAN;3.676;-0.825;-2.714;10.838;NAN;pkshl;
233;J0635+0533;NAN;NAN;NAN;50744.00;206.151;-1.043;98.82500000;5.55305556;0.033856;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;OPT:Be-star;misc;
234;J0636-3044;NAN;NAN;NAN;55738.00;239.683;-16.344;99.28750000;-30.84500000;0.003946;NAN;16.00;NAN;NAN;NAN;NAN;0.715;-0.201;-0.592;8.846;NAN;htru_pks;
235;J0636-4549;NAN;NAN;NAN;52700.00;254.547;-21.547;99.14060000;-45.82572778;1.984597;3.17e-15;26.31;NAN;NAN;0.10;NAN;0.383;-0.141;-0.343;8.595;NAN;pkshl;
236;J0641+07;NAN;NAN;NAN;NAN;204.882;1.252;100.29166667;7.73333333;NAN;NAN;52.00;NAN;NAN;NAN;NAN;1.257;0.027;-0.529;9.640;NAN;misc;
237;J0645+5158;1.525;-7.418;0.800;56534.00;163.963;20.251;101.49617575;51.97081077;0.008853;4.92e-21;18.25;NAN;2.40;0.29;NAN;1.250;0.433;0.324;9.627;XRS:[ska+16];gbncc,lotaas;
238;J0645+80;NAN;NAN;NAN;56292.00;133.945;26.465;101.50000000;80.15000000;0.657873;NAN;50.00;NAN;5.50;NAN;NAN;5.249;2.339;3.383;11.761;NAN;gbncc,lotaas;
239;J0646+0905;NAN;NAN;NAN;57600.00;204.271;3.051;101.62927083;9.09711111;0.903913;7.36e-16;149.00;NAN;NAN;3.60;NAN;2.525;0.134;-1.036;10.799;NAN;pkspa;
240;J0647+0913;NAN;NAN;NAN;54195.00;204.233;3.277;101.81533333;9.23319444;1.234854;6.42e-15;154.70;NAN;NAN;0.18;NAN;2.666;0.152;-1.092;10.927;NAN;pkspa;
241;J0652-0142;NAN;NAN;NAN;54031.00;214.538;-0.613;103.04627500;-1.70841667;0.924054;1.52e-16;116.30;NAN;NAN;0.41;NAN;2.318;-0.025;-1.314;10.409;NAN;pkspa;
242;J0653+8051;19.000;-1.000;NAN;48712.00;133.178;26.828;103.31287500;80.86672778;1.214441;3.80e-15;33.32;NAN;6.50;0.40;NAN;2.348;1.060;1.528;9.934;NAN;gb1,gbncc,lotaas;
243;J0656-2228;NAN;NAN;NAN;52850.00;233.655;-8.982;104.12586250;-22.47376389;1.224754;2.67e-17;32.39;NAN;NAN;3.00;NAN;1.623;-0.253;-1.291;9.450;NAN;pkshl;
244;J0656-5449;NAN;NAN;NAN;53000.00;264.795;-21.141;104.20412500;-54.82081111;0.183157;3.19e-17;67.50;NAN;NAN;0.40;NAN;0.372;-0.134;-0.346;8.531;NAN;pkssw;
245;J0658+0022;NAN;NAN;NAN;54322.00;213.374;1.688;104.56337083;0.37647222;0.563295;9.15e-15;122.00;NAN;NAN;0.13;NAN;2.364;0.070;-1.300;10.473;NAN;pkspa;
