#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
48;J0103+54;NAN;NAN;NAN;56657.00;124.741;-8.796;15.90416667;54.03333333;0.354304;NAN;55.60;6.400;13.000;NAN;NAN;NAN;NAN;2.010;2.010;-0.307;1.632;9.632;NAN;gbncc;RRAT[kkl+15];
49;J0104+64;NAN;NAN;NAN;NAN;124.308;1.162;16.00000000;64.00000000;1.386000;NAN;44.60;45.000;82.000;NAN;NAN;NAN;NAN;1.711;1.711;0.035;1.413;9.464;NAN;gbncc;NAN;
50;J0106+4855;NAN;NAN;NAN;55225.00;125.465;-13.867;16.60441667;48.93105556;0.083157;4.28e-16;70.87;NAN;NAN;NAN;NAN;0.01;NAN;3.063;3.063;-0.734;2.422;10.225;GRS:4FGL_J0106.4+4855[aab+22];FermiBlind;HE;
51;J0107+1322;NAN;NAN;NAN;57972.00;128.991;-49.305;16.91645833;13.37547222;1.197383;6.87e-16;21.67;28.000;35.700;NAN;NAN;NAN;NAN;2.349;2.349;-1.781;1.190;9.464;NAN;lotaas;NAN;
52;J0108-1431;75.100;-152.500;4.200;54100.00;140.930;-76.815;17.03477923;-14.53060753;0.807565;7.70e-17;2.38;30.000;61.000;NAN;9.00;1.40;NAN;0.210;0.232;-0.204;0.030;8.537;NAN;pks70;NAN;
53;J0108+6608;-32.750;35.150;0.470;56000.00;124.646;3.328;17.09377042;66.14291639;1.283660;1.31e-14;30.55;22.500;54.900;0.00;10.00;0.90;NAN;2.128;1.461;0.123;1.747;9.708;NAN;jb1,gb1,gb2,lotaas;NAN;
54;J0108+6905;NAN;NAN;NAN;49875.00;124.461;6.277;17.12293293;69.09795221;1.071118;4.81e-17;61.06;12.000;65.000;NAN;3.70;0.40;NAN;1.981;1.981;0.217;1.624;9.614;NAN;gb2,gbncc,lotaas;NAN;
55;J0109+11;NAN;NAN;NAN;NAN;129.793;-51.104;17.25000000;11.53333333;0.432700;NAN;17.00;NAN;NAN;NAN;NAN;NAN;NAN;1.566;1.566;-1.219;0.756;9.129;NAN;pumps;NAN;
56;J0110-22;NAN;NAN;NAN;NAN;163.377;-83.360;17.50000000;-22.00000000;1.262000;NAN;20.80;43.000;64.000;NAN;NAN;NAN;NAN;25.000;25.000;-24.832;0.827;11.270;NAN;gbncc;NAN;
57;J0111+6624;NAN;NAN;NAN;56500.00;124.928;3.609;17.84115050;66.40299564;4.301872;8.36e-15;111.20;33.000;87.000;NAN;NAN;NAN;NAN;2.412;2.412;0.152;1.974;9.878;NAN;gbncc,misc;NAN;
58;J0111-7131;NAN;NAN;NAN;52369.00;300.669;-45.510;17.86987500;-71.52966667;0.688542;7.09e-15;79.40;15.000;NAN;NAN;NAN;0.04;NAN;59.700;59.325;-42.589;-35.985;-12.840;EXGAL:SMC;misc;NAN;
59;J0113-7220;NAN;NAN;NAN;51212.00;300.615;-44.688;18.29620833;-72.34227778;0.325883;4.86e-15;125.49;4.500;12.000;NAN;NAN;0.19;NAN;59.700;60.999;-41.984;-36.527;-13.115;EXGAL:SMC;misc;NAN;
60;J0115+6325;NAN;NAN;NAN;57876.00;125.648;0.687;18.94112500;63.43077778;0.521455;1.60e-15;65.07;22.000;NAN;NAN;NAN;NAN;NAN;1.931;1.931;0.023;1.569;9.625;NAN;lotaas;NAN;
61;J0117+5914;-3.316;18.083;NAN;49751.00;126.283;-3.457;19.41108846;59.24399732;0.101439;5.85e-15;49.42;4.100;8.300;0.00;7.60;0.30;NAN;1.768;1.768;-0.107;1.423;9.544;XRS:[pb15];gb3,gbncc,lotaas;NAN;
62;J0121+53;NAN;NAN;NAN;NAN;127.378;-9.133;20.25000000;53.48333333;2.724785;NAN;91.38;20.000;NAN;NAN;NAN;NAN;NAN;2.644;2.644;-0.420;2.074;10.085;NAN;chime;RRAT[gac+21];
63;J0122+1416;NAN;NAN;NAN;57876.00;134.030;-47.940;20.50545833;14.27138889;1.388994;3.80e-15;17.69;32.000;44.000;NAN;NAN;NAN;NAN;1.584;1.584;-1.176;0.763;9.238;NAN;misc,lotaas,gbncc;NAN;
64;J0125-2327;NAN;NAN;NAN;55561.00;189.069;-81.541;21.29166667;-23.45722222;0.003676;NAN;9.60;0.670;1.100;NAN;NAN;2.49;NAN;0.873;0.873;-0.864;-0.020;8.627;NAN;htru_pks,gbncc;NAN;
65;J0125+62;NAN;NAN;NAN;56292.00;126.899;-0.022;21.50000000;62.58333333;1.708233;NAN;118.00;17.000;61.000;NAN;3.40;NAN;NAN;2.403;2.403;-0.001;1.922;9.943;NAN;gbncc;NAN;
66;J0131-7310;NAN;NAN;NAN;52335.00;298.944;-43.648;22.86879167;-73.16926111;0.348124;1.76e-15;205.22;4.400;NAN;NAN;NAN;0.06;NAN;59.700;100.000;-41.206;-37.803;-12.406;EXGAL:SMC;misc;NAN;
67;J0133-6957;NAN;NAN;NAN;49980.20;297.691;-46.739;23.38525000;-69.95824444;0.463474;1.20e-16;22.95;4.500;18.000;NAN;5.00;0.18;NAN;2.441;2.441;-1.778;-1.481;7.723;NAN;pks70;NAN;
68;J0134-2937;17.000;-9.000;NAN;54428.00;230.251;-80.250;23.57784333;-29.62140056;0.136962;7.84e-17;21.81;2.500;7.100;NAN;9.00;3.90;NAN;25.000;25.000;-24.639;-3.255;11.207;NAN;pks70;NAN;
69;J0137+1654;NAN;NAN;NAN;52225.00;138.449;-44.571;24.34950000;16.91169444;0.414763;1.22e-17;26.08;14.000;62.000;NAN;1.40;NAN;NAN;3.061;3.061;-2.148;1.446;10.132;NAN;ar4,lotaas;NAN;
70;J0137+6349;NAN;NAN;NAN;56500.00;127.955;1.402;24.30569116;63.82620927;0.717963;9.60e-16;285.50;25.000;58.000;NAN;NAN;NAN;NAN;9.097;9.097;0.223;7.171;14.093;NAN;gbncc;NAN;
71;J0139+3336;NAN;NAN;NAN;57901.00;134.381;-28.174;24.98845833;33.61658333;1.247961;2.06e-15;21.23;15.000;NAN;NAN;NAN;NAN;NAN;1.472;1.472;-0.695;0.927;9.408;NAN;misc,lotaas;RRAT[ttm18];
72;J0139+5621;NAN;NAN;NAN;56000.00;129.609;-5.885;24.91066667;56.36022222;1.775344;7.91e-14;101.84;36.000;63.000;NAN;0.70;0.02;NAN;2.410;2.410;-0.247;1.847;10.028;NAN;misc,lotaas,gbncc;NAN;
73;J0139+5814;-19.110;-16.600;0.370;52275.00;129.216;-4.044;24.83225042;58.24217194;0.272451;1.07e-14;73.81;5.200;9.600;0.00;28.00;4.60;NAN;2.600;2.006;-0.183;2.009;10.140;NAN;gb1,gb2,gb3,gb4,gbncc,lotaas,misc;NAN;
74;J0141+6009;NAN;NAN;NAN;49293.00;129.147;-2.105;25.41640900;60.15897317;1.222949;3.91e-16;34.93;34.900;104.200;0.00;49.00;4.50;NAN;2.300;1.498;-0.084;1.783;9.951;NAN;misc,gb3,gb4,gbncc,lotaas;NAN;
75;J0141+63;NAN;NAN;NAN;56292.00;128.497;0.798;25.25000000;63.13333333;0.046686;NAN;272.80;2.200;4.900;NAN;1.30;NAN;NAN;8.774;8.774;0.122;6.866;13.961;NAN;gbncc;NAN;
76;J0146+31;NAN;NAN;NAN;57022.00;136.532;-30.353;26.56250000;31.06666667;0.938100;NAN;25.00;20.000;NAN;NAN;NAN;NAN;NAN;1.826;1.826;-0.923;1.084;9.644;NAN;misc;NAN;
77;J0146+6145;-4.100;1.900;NAN;49031.00;129.384;-0.431;26.59341667;61.75077778;8.688994;1.99e-12;NAN;NAN;NAN;NAN;NAN;NAN;NAN;3.600;NAN;-0.027;2.782;10.784;XRS:4U_0142+61;misc;AXP,NRAD;
78;J0147+5922;-6.390;3.800;0.470;56000.00;130.059;-2.723;26.93601417;59.36757889;0.196321;2.57e-16;40.11;7.000;10.100;0.00;6.60;2.10;NAN;2.128;1.578;-0.101;1.627;9.868;NAN;gb3,lotaas;NAN;
79;J0151-0635;10.700;-5.380;0.230;56000.00;160.368;-65.004;27.84465792;-6.58416306;1.464665;4.43e-16;25.66;122.000;149.000;NAN;38.00;1.60;NAN;25.000;25.000;-22.658;3.549;18.450;NAN;mol2,pks70;NAN;
80;J0152+0948;NAN;NAN;NAN;52858.00;146.812;-50.221;28.09887500;9.80277778;2.746647;1.70e-15;22.88;11.000;103.000;NAN;0.91;NAN;NAN;2.477;2.477;-1.904;0.868;9.826;NAN;ar4;NAN;
81;J0152-1637;0.800;-31.300;0.460;56000.00;179.306;-72.457;28.04522458;-16.63156694;0.832742;1.30e-15;11.93;16.000;24.000;NAN;20.00;2.10;NAN;0.920;0.920;-0.877;0.003;8.777;NAN;mol2,pks70;NAN;
82;J0154+1833;10.300;-8.900;NAN;56900.00;143.185;-41.810;28.65367804;18.56409944;0.002365;2.92e-21;19.80;NAN;NAN;NAN;NAN;0.11;NAN;1.622;1.622;-1.081;0.724;9.468;NAN;ar327;NAN;
83;J0156+04;NAN;NAN;NAN;NAN;151.975;-55.155;29.00416667;4.03333333;NAN;NAN;27.50;3.800;NAN;NAN;NAN;NAN;NAN;25.000;25.000;-20.517;6.711;21.109;NAN;ar327;RRAT[dsm+16];
84;J0156+3949;NAN;NAN;NAN;49701.00;136.369;-21.332;29.23019206;39.82459228;1.811561;1.52e-16;59.83;99.000;160.000;NAN;4.00;NAN;NAN;4.916;4.916;-1.788;3.160;11.814;NAN;gb2,lotaas,gbncc;NAN;
