PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J1709+2313,257.27413,2.5E-05,23.224403,2.8E-06,-3.2,0.7,-9.7,0.9,NAN,0,51145,,PSR,,0.004631196277841,2E-16,3.63E-21,4E-23,25.3474,0.0002,2.18,2.179,131000000,NAN
J1710+4923,257.51850454,9.7E-08,49.38652178,6.9E-08,-50.4,0.2,-44.7,0.2,NAN,0,56850,,PSR,,0.003220228398564,5E-17,1.8211E-20,3E-24,7.08493,2E-05,0.51,0.506,245000000,NAN
J1713+0747,258.456383442,4.2E-09,7.793751708,8.3E-09,4.924,0.001,-3.913,0.002,0.83,0.02,55391,Perera+ 2019,PSR,,0.004570136527582,1.7E-17,8.52969E-21,1.3E-25,15.917,0.016,1.22,0.915,200000000,GRS:2FGL_J1714.0+0751[naa+12]
J1719-1438,259.7919705,2.1E-07,-14.633595,1.1E-06,1.9,0.4,-11,2,NAN,0,55235.5,,PSR,,0.005790151770024,5E-16,8.043E-21,7E-24,36.862,0.004,0.34,0.341,218000000,NAN
J1720-0212,260.23862,4.6E-05,-2.20664,0.00014,-1,4,-26,5,NAN,0,49429,,PSR,,0.477715343692,3E-12,8.2798E-17,1.9E-20,66.98,0.04,2.36,2.357,201000000000,NAN
J1721-2457,260.2729079,1.3E-06,-24.951714,1.4E-05,2,1,-26,14,NAN,0,55000,Perera+ 2019,PSR,,0.0034966337827,1.9E-16,5.542E-21,7E-24,47.758,0.019,1.37,1.365,141000000,NAN
J1722-3207,260.512329,8.3E-06,-32.12925,5.6E-05,-1,5,-40,27,NAN,0,57600,,PSR,,0.4771579477894,1.6E-12,6.452E-16,1.4E-19,126.064,0.008,2.93,2.928,561000000000,NAN
J1722-3632,260.5409,3.3E-05,-36.54814,0.00014,-19,7,-110,34,NAN,0,53882,S.J.Dang+ 2020,PSR,CT,NAN,0,NAN,0,416.2,0.2,NAN,3.992,NAN,NAN
J1723-2837,260.846607,3.3E-06,-28.63255,3.1E-05,-11.713,0.082,-23.99,0.062,1.077,0.054,55667,Jennings+ 2018 ,Binary PSR,,0.001855732795729,1.1E-14,7.5E-21,5E-22,19.688,0.013,0.93,0.72,120000000,OPT:2MASS_J17232318-2837571[cls+13]
J1727-2946,261.8128955,7.1E-07,-29.776888,4.7E-06,0.6,0.9,0,8,NAN,0,54723,,PSR,,0.027083183244007,1.2E-15,2.4632E-19,3E-23,60.74,0.03,1.88,1.882,2610000000,NAN
J1730-2304,262.590276,3.3E-07,-23.075331,5.6E-06,20.2,0.3,-1,6,1.7,0.2,54500,Perera+ 2019,PSR,,0.008122798046077,4E-17,2.01844E-20,3E-25,9.61634,0,0.62,0.512,410000000,XRS:[pb15]
